,yıl,ay,enflasyon
0,2008,ocak,8.17
1,2008,şubat,9.1
2,2008,mart,9.15
3,2008,nisan,9.66
4,2008,mayıs,10.74
5,2008,haziran,10.61
6,2008,temmuz,12.06
7,2008,ağustos,11.77
8,2008,eylül,11.13
9,2008,ekim,11.99
10,2008,kasım,10.76
11,2008,aralık,10.06
12,2009,ocak,9.5
13,2009,şubat,7.73
14,2009,mart,7.89
15,2009,nisan,6.13
16,2009,mayıs,5.24
17,2009,haziran,5.73
18,2009,temmuz,5.39
19,2009,ağustos,5.33
20,2009,eylül,5.27
21,2009,ekim,5.08
22,2009,kasım,5.53
23,2009,aralık,6.53
24,2010,ocak,8.19
25,2010,şubat,10.13
26,2010,mart,9.56
27,2010,nisan,10.19
28,2010,mayıs,9.1
29,2010,haziran,8.37
30,2010,temmuz,7.58
31,2010,ağustos,8.33
32,2010,eylül,9.24
33,2010,ekim,8.62
34,2010,kasım,7.29
35,2010,aralık,6.4
36,2011,ocak,4.9
37,2011,şubat,4.16
38,2011,mart,3.99
39,2011,nisan,4.26
40,2011,mayıs,7.17
41,2011,haziran,6.24
42,2011,temmuz,6.31
43,2011,ağustos,6.65
44,2011,eylül,6.15
45,2011,ekim,7.66
46,2011,kasım,9.48
47,2011,aralık,10.45
48,2012,ocak,10.61
49,2012,şubat,10.43
50,2012,mart,10.43
51,2012,nisan,11.14
52,2012,mayıs,8.28
53,2012,haziran,8.87
54,2012,temmuz,9.07
55,2012,ağustos,8.88
56,2012,eylül,9.19
57,2012,ekim,7.8
58,2012,kasım,6.37
59,2012,aralık,6.16
60,2013,ocak,7.31
61,2013,şubat,7.03
62,2013,mart,7.29
63,2013,nisan,6.13
64,2013,mayıs,6.51
65,2013,haziran,8.3
66,2013,temmuz,8.88
67,2013,ağustos,8.17
68,2013,eylül,7.88
69,2013,ekim,7.71
70,2013,kasım,7.32
71,2013,aralık,7.4
72,2014,ocak,7.75
73,2014,şubat,7.89
74,2014,mart,8.39
75,2014,nisan,9.38
76,2014,mayıs,9.66
77,2014,haziran,9.16
78,2014,temmuz,9.32
79,2014,ağustos,9.54
80,2014,eylül,8.86
81,2014,ekim,8.96
82,2014,kasım,9.15
83,2014,aralık,8.17
84,2015,ocak,7.24
85,2015,şubat,7.55
86,2015,mart,7.61
87,2015,nisan,7.91
88,2015,mayıs,8.09
89,2015,haziran,7.2
90,2015,temmuz,6.81
91,2015,ağustos,7.14
92,2015,eylül,7.95
93,2015,ekim,7.58
94,2015,kasım,8.1
95,2015,aralık,8.81
96,2016,ocak,9.58
97,2016,şubat,8.78
98,2016,mart,7.46
99,2016,nisan,6.57
100,2016,mayıs,6.58
101,2016,haziran,7.64
102,2016,temmuz,8.05
103,2016,ağustos,8.79
104,2016,eylül,7.28
105,2016,ekim,7.16
106,2016,kasım,7.0
107,2016,aralık,8.53
108,2017,ocak,9.22
109,2017,şubat,10.13
110,2017,mart,11.29
111,2017,nisan,11.87
112,2017,mayıs,11.72
113,2017,haziran,10.9
114,2017,temmuz,9.79
115,2017,ağustos,10.68
116,2017,eylül,7.29
117,2017,ekim,11.9
118,2017,kasım,12.98
119,2017,aralık,11.92
